word	level	also	pinyin	pos
不必	4		búbì	副
不惜	7		bùxī	动
不愧	7		búkuì	副
不慎	7		búshèn	形
不懈	7		búxiè	形
不成	6		bùchéng	动、形、助
不折不扣	7		bùzhé-búkòu	
不敢当	7		bùgǎndāng	动
不料	6		búliào	连
不断	4		búduàn	动、副
不时	6		bùshí	副、名
不景气	7		bùjǐngqì	形
不曾	6		bùcéng	副
不服	7		bùfú	动
不止	6		bùzhǐ	动、副
不正之风	7		búzhèngzhīfēng	
不法	7		bùfǎ	形
不满	4		bùmǎn	形
不然	5	7	bùrán	连、（形）
不用	3		búyòng	副
不由得	7		bùyóude	动、副
不由自主	7		bùyóuzìzhǔ	
不相上下	7		bùxiāng-shàngxià	
不知不觉	7		bùzhī-bùjué	
不知所措	7		bùzhī-suǒcuò	
不禁	6		bùjīn	副
不符	5		bùfú	动
不算	7		bú	suàn
不管	4		bùguǎn	连
不约而同	7		bùyuē’értóng	
不经意	7		bù	jīngyì
不翼而飞	7		búyì’érfēi	
不耐烦	6		bú	nàifán
不耻下问	7		bùchǐ-xiàwèn	
不肖	7		búxiào	形
不至于	6		búzhìyú	动
不良	5		bùliáng	形
不行	3		bùxíng	动、形
不要	1		búyào	副
不要紧	5		búyàojǐn	形
不见	3		bújiàn	动
不见得	7		bújiàndé	副
不解	7		bùjiě	动
不言而喻	7		bùyán’éryù	
不许	6		bùxǔ	动
不论	4		búlùn	连
不足	5		bùzú	动、名
不辞而别	7		bùcí’érbié	
不过	4	5	búguò	连、（副）
不适	6		búshì	形
不错	2		búcuò	形
不顾	6		búgù	动
与	4		yǔ	介、连
与众不同	7		yǔzhòng-bùtóng	
与其	6		yǔqí	连
与否	7		yǔ	fǒu
与日俱增	7		yǔrì-jùzēng	
与时俱进	7		yǔshí-jùjìn	
丑	5		chǒu	形
丑恶	7		chǒu’è	形
丑闻	7		chǒuwén	名
丑陋	7		chǒulòu	形
专业	4		zhuānyè	名、形
专人	7		zhuānrén	名
专利	6		zhuānlì	名
专制	7		zhuānzhì	动、形
专卖	7		zhuānmài	动
专家	5		zhuānjiā	名
专心	5		zhuānxīn	形
专柜	7		zhuānguì	名
专栏	7		zhuānlán	名
专注	6		zhuānzhù	形
专用	6		zhuānyòng	动
专科	6		zhuānkē	名
专程	7		zhuānchéng	副
专职	7		zhuānzhí	名
专著	7		zhuānzhù	名
专辑	7		zhuānjí	名
专长	7		zhuāncháng	名
专门	4		zhuānmén	副、形
专项	7		zhuānxiàng	名
专题	6		zhuāntí	名
且	7		qiě	连
世人	7		shìrén	名
世代	7		shìdài	名
世故	7		shìgù	名
世界	3		shìjiè	名
世纪	4		shìjì	名
世间	7		shìjiān	名
丘陵	7		qiūlíng	名
丙	7		bǐng	名
业	6		yè	后缀
业余	5		yèyú	形
业务	5		yèwù	名
业绩	7		yèjì	名
丛	7		cóng	量
丛林	7		cónglín	名
东	3		dōng	名
